date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,10.89,11.0,7.85,8.29,8.29,435842322.0,0.0,1.0
2021-02-24,7.23,9.83,6.99,9.09,9.09,376881755.0,0.0,1.0
2021-02-23,6.97,7.86,6.01,7.7,7.7,264876391.0,0.0,1.0
2021-02-22,5.93,6.68,5.75,6.55,6.55,150537943.0,0.0,1.0
2021-02-19,5.54,5.77,5.51,5.7,5.7,40249109.0,0.0,1.0
2021-02-18,5.84,6.25,5.46,5.51,5.51,130540827.0,0.0,1.0
2021-02-17,5.58,5.62,5.32,5.55,5.55,38185271.0,0.0,1.0
2021-02-16,6.03,6.05,5.49,5.65,5.65,61165710.0,0.0,1.0
2021-02-12,5.72,5.97,5.52,5.59,5.59,46773031.0,0.0,1.0
2021-02-11,5.62,5.85,5.47,5.61,5.61,55920386.0,0.0,1.0
2021-02-10,5.71,6.59,5.45,5.8,5.8,149869768.0,0.0,1.0
2021-02-09,5.81,5.81,5.26,5.5,5.5,97487848.0,0.0,1.0
2021-02-08,6.88,6.89,5.75,6.18,6.18,128755955.0,0.0,1.0
2021-02-05,7.17,8.27,6.52,6.83,6.83,197097568.0,0.0,1.0
2021-02-04,8.7,8.74,7.0,7.09,7.09,162985781.0,0.0,1.0
2021-02-03,8.85,9.77,7.89,8.97,8.97,221405052.0,0.0,1.0
2021-02-02,9.48,10.1,6.0,7.82,7.82,455959866.0,0.0,1.0
2021-02-01,17.0,17.25,12.91,13.3,13.3,434607989.0,0.0,1.0
2021-01-29,14.31,16.0,11.6,13.26,13.26,602193320.0,0.0,1.0
2021-01-28,11.98,16.5,6.51,8.63,8.63,553511035.0,0.0,1.0
2021-01-27,20.34,20.36,11.01,19.9,19.9,1196005169.0,0.0,1.0
2021-01-26,5.09,5.19,4.37,4.96,4.96,456850232.0,0.0,1.0
2021-01-25,4.71,4.88,3.85,4.42,4.42,443238115.0,0.0,1.0
2021-01-22,2.91,3.74,2.81,3.51,3.51,268273367.0,0.0,1.0
2021-01-21,3.0,3.06,2.85,2.98,2.98,64823844.0,0.0,1.0
2021-01-20,3.29,3.34,2.75,2.97,2.97,181862210.0,0.0,1.0
2021-01-19,2.8,3.2,2.57,3.06,3.06,256276010.0,0.0,1.0
2021-01-15,2.2,2.55,2.18,2.33,2.33,162356375.0,0.0,1.0
2021-01-14,2.22,2.32,2.13,2.18,2.18,49638794.0,0.0,1.0
2021-01-13,2.33,2.38,2.13,2.18,2.18,45847659.0,0.0,1.0
2021-01-12,2.24,2.39,2.235,2.29,2.29,41279713.0,0.0,1.0
2021-01-11,2.16,2.27,2.15,2.2,2.2,41695836.0,0.0,1.0
2021-01-08,2.09,2.211,2.07,2.14,2.14,39553343.0,0.0,1.0
2021-01-07,2.08,2.11,2.02,2.05,2.05,26150489.0,0.0,1.0
2021-01-06,2.03,2.23,1.97,2.01,2.01,67363337.0,0.0,1.0
2021-01-05,1.99,2.03,1.91,1.98,1.98,28148314.0,0.0,1.0
2021-01-04,2.2,2.2,2.0,2.01,2.01,29873796.0,0.0,1.0
2020-12-31,2.17,2.22,2.08,2.12,2.12,28234251.0,0.0,1.0
2020-12-30,2.3,2.3,2.13,2.16,2.16,40278438.0,0.0,1.0
2020-12-29,2.44,2.46,2.28,2.29,2.29,21086148.0,0.0,1.0
2020-12-28,2.63,2.63,2.36,2.39,2.39,23241725.0,0.0,1.0
2020-12-24,2.59,2.6,2.48,2.51,2.51,11094189.0,0.0,1.0
2020-12-23,2.58,2.65,2.54,2.56,2.56,15724765.0,0.0,1.0
2020-12-22,2.73,2.75,2.52,2.59,2.59,21686612.0,0.0,1.0
2020-12-21,2.61,2.74,2.58,2.68,2.68,22699798.0,0.0,1.0
2020-12-18,2.85,2.85,2.76,2.8,2.8,21941652.0,0.0,1.0
2020-12-17,2.8,2.95,2.74,2.85,2.85,23799298.0,0.0,1.0
2020-12-16,2.87,2.89,2.72,2.78,2.78,25423239.0,0.0,1.0
2020-12-15,3.24,3.24,2.76,2.86,2.86,54432125.0,0.0,1.0
2020-12-14,4.01,4.01,3.0,3.19,3.19,67158976.0,0.0,1.0
2020-12-11,4.04,4.25,3.87,3.92,3.92,22310377.0,0.0,1.0
2020-12-10,3.79,4.1,3.77,4.09,4.09,19872845.0,0.0,1.0
