1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,MA5,MA20,SMA5,SMA20,exma,middle_band,upper_band,lower_band
632.2,651.4999,622.5701,645.98,645.98,33172972.0,0.0,1.0,666.442,776.3815000000001,666.442,776.3815000000001,650.2133373932165,776.3815000000001,937.2288231326761,615.534176867324
648.0,649.88,614.23,640.34,640.34,51861644.0,0.0,1.0,655.5540000000001,766.0665,655.5540000000001,766.0665,642.8083343483042,766.0665,934.2358318652368,597.8971681347632
666.24,668.5,646.07,649.86,649.86,58045264.0,0.0,1.0,652.328,756.31,652.328,756.31,648.0970835870761,756.31,927.8084338120909,584.811566187909
668.9,695.0,628.54,695.0,695.0,222126194.0,0.0,1.0,658.5899999999999,748.5375,658.5899999999999,748.5375,683.274270896769,748.5375,916.1171603504079,580.9578396495922
628.19,658.82,619.5,655.9,655.9,56270144.0,0.0,1.0,657.4159999999999,739.1049999999999,657.4159999999999,739.1049999999999,662.7435677241923,739.1049999999999,905.1600589096095,573.0499410903903
628.23,632.5,605.0,622.77,622.77,42095813.0,0.0,1.0,652.774,728.9354999999999,652.774,728.9354999999999,632.7633919310481,728.9354999999999,897.4364616683481,560.4345383316518
643.28,646.9,623.8,633.25,633.25,45223559.0,0.0,1.0,651.356,718.348,651.356,718.348,633.1283479827621,718.348,882.701643432307,553.9943565676929
619.0,642.7499,610.2001,639.83,639.83,52040649.0,0.0,1.0,649.35,707.6189999999999,649.35,707.6189999999999,638.1545869956906,707.6189999999999,862.3054742020222,552.9325257979776
615.01,624.0,596.8,609.99,609.99,46474974.0,0.0,1.0,632.3480000000001,695.6465,632.3480000000001,695.6465,617.0311467489227,695.6465,840.8932669030529,550.399733096947
574.37,627.75,566.34,627.07,627.07,67083153.0,0.0,1.0,626.582,686.4405,626.582,686.4405,624.5602866872307,686.4405,823.9877266417701,548.89327335823
653.69,654.32,588.0,604.48,604.48,71291190.0,0.0,1.0,622.924,672.6635,622.924,672.6635,609.5000716718077,672.6635,780.576500099741,564.750499900259
625.505,651.28,618.5,649.88,649.88,64265029.0,0.0,1.0,626.25,664.3554999999999,626.25,664.3554999999999,639.785017917952,664.3554999999999,748.8310759096295,579.8799240903703
604.9197,648.7856,603.05,641.76,641.76,56309709.0,0.0,1.0,626.6360000000001,658.6445,626.6360000000001,658.6445,641.266254479488,658.6445,731.7122855361605,585.5767144638395
591.01,599.04,585.5,599.04,599.04,29401314.0,0.0,1.0,624.446,651.841,624.446,651.841,609.596563619872,651.841,720.1125207327211,583.5694792672789
590.02,598.97,582.43,593.38,593.38,42552003.0,0.0,1.0,617.708,645.0215000000001,617.708,645.0215000000001,597.434140904968,645.0215000000001,707.5210165539238,582.5219834460763
